Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status,Metafield: custom.tagline [single_line_text_field],Metafield: custom.key_benefits [list.single_line_text_field],Metafield: custom.best_for [single_line_text_field]
youth-cream-mask-anti-aging-face-mask,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/sharu28/dibi-milano-skin-center/main/public/product-images/youth-cream-mask_2.jpg,2,Youth Cream Mask: Anti Aging Face Mask,,,,
youth-cream-mask-anti-aging-face-mask,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/sharu28/dibi-milano-skin-center/main/public/product-images/youth-cream-mask_3.jpg,3,Youth Cream Mask: Anti Aging Face Mask,,,,
youth-cream-mask-anti-aging-face-mask,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/sharu28/dibi-milano-skin-center/main/public/product-images/youth-cream-mask_4.jpg,4,Youth Cream Mask: Anti Aging Face Mask,,,,
fluid-youth-cream-anti-aging-cream,Fluid Youth Cream: Anti Aging Cream,"<p>Fluid Youth Cream: Anti Aging Cream from the CREAM AND SERUM ANTI AGING AGE METHOD collection, available through DIBI Milano Skin Center Colombo.</p><h3>Directions for Use</h3><p>Apply to the face morning and evening and massage until fully absorbed.</p><h3>Ingredients</h3><p style=""font-family: monospace; font-size: 0.875rem;"">AQUA (WATER), CAPRYLIC/CAPRIC TRIGLYCERIDE, GLYCERIN, COCO-CAPRYLATE/CAPRATE, BUTYROSPERMUM PARKII (SHEA) BUTTER, CETEARYL ALCOHOL, C10-18 TRIGLYCERIDES, PHENOXYETHANOL, ERUCA SATIVA LEAF EXTRACT, HYDROXYACETOPHENONE, GLYCERYL STEARATE, JOJOBA ESTERS, CETEARYL OLIVATE, HELIANTHUS ANNUUS (SUNFLOWER) SEED WAX, SODIUM STEAROYL GLUTAMATE, ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER, SORBITAN OLIVATE, PARFUM (FRAGRANCE), TETRASODIUM EDTA, XANTHAN GUM, SODIUM DEHYDROACETATE, CALENDULA OFFICINALIS FLOWER EXTRACT, CITRIC ACID, SODIUM HYDROXIDE, SORBITAN TRIOLEATE, HYDROXYETHYL ACRYLATE/SODIUM ACRYLOYLDIMETHYL TAURATE COPOLYMER, POLYGLYCERIN-3, LINALOOL, POLYSORBATE 60, SQUALANE, LIMONENE, PALMITOYL TRIPEPTIDE-5, COUMARIN, ETHYLHEXYLGLYCERIN, SODIUM BENZOATE, POTASSIUM SORBATE, GERANIOL, APIUM GRAVEOLENS (CELERY) SEED EXTRACT, LINUM USITATISSIMUM (LINSEED) SEED EXTRACT</p>",DIBI Milano,Cream And Serum Anti Aging Age Method,"CREAM AND SERUM ANTI AGING AGE METHOD, Anti-Aging",TRUE,Title,Default Title,FLUID-YOUTH-CREAM-ANTI-AGING-CRE,50,shopify,0,deny,manual,1.00,TRUE,TRUE,https://raw.githubusercontent.com/sharu28/dibi-milano-skin-center/main/public/product-images/fluid-youth-cream_1.jpg,1,Fluid Youth Cream: Anti Aging Cream,active,Advanced formulation targeting visible signs of aging with clinically-proven active ingredients.,"[""Deeply hydrates and plumps skin for a youthful appearance"",""Reduces the appearance of fine lines and wrinkles"",""Strengthens skin barrier for improved resilience"",""Enhances natural radiance and even skin tone""]",All Skin Types
fluid-youth-cream-anti-aging-cream,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/sharu28/dibi-milano-skin-center/main/public/product-images/fluid-youth-cream_2.jpg,2,Fluid Youth Cream: Anti Aging Cream,,,,
fluid-youth-cream-anti-aging-cream,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/sharu28/dibi-milano-skin-center/main/public/product-images/fluid-youth-cream_3.jpg,3,Fluid Youth Cream: Anti Aging Cream,,,,
fluid-youth-cream-anti-aging-cream,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/sharu28/dibi-milano-skin-center/main/public/product-images/fluid-youth-cream_4.jpg,4,Fluid Youth Cream: Anti Aging Cream,,,,
no-age-revitalizing-fluid-cream-anti-age-cream,No-Age Revitalizing Fluid Cream*: Anti Age Cream,"<p>No-Age Revitalizing Fluid Cream*: Anti Age Cream from the ACID INFUSION collection, available through DIBI Milano Skin Center Colombo.</p><h3>Directions for Use</h3><p>Apply during the daytime and massage until fully absorbed.</p><h3>Ingredients</h3><p style=""font-family: monospace; font-size: 0.875rem;"">AQUA (WATER), ETHYLHEXYL METHOXYCINNAMATE, DIBUTYL ADIPATE, GLYCERIN, CAPRYLIC/CAPRIC TRIGLYCERIDE, ETHYLHEXYL SALICYLATE, DIETHYLAMINO HYDROXYBENZOYL HEXYL BENZOATE, SODIUM HYALURONATE, FERULIC ACID, ALCOHOL DENAT., GLYCERYL GLUCOSIDE, GLYCERYL DIBEHENATE, PHENOXYETHANOL, CETEARYL OLIVATE, HYDROXYACETOPHENONE, TRIBEHENIN, SORBITAN OLIVATE, GLYCERYL BEHENATE, PARFUM (FRAGRANCE), XANTHAN GUM, TETRASODIUM EDTA, SODIUM HYDROXIDE, ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER, HYDROXYCITRONELLAL, BENZYL SALICYLATE, LIMONENE, CITRONELLOL, ALPHA-ISOMETHYL IONONE, HEXYL CINNAMAL</p>",DIBI Milano,Acid Infusion,"ACID INFUSION, Hydrating, Brightening",TRUE,Title,Default Title,NO-AGE-REVITALIZING-FLUID-CREAM-,50,shopify,0,deny,manual,1.00,TRUE,TRUE,https://raw.githubusercontent.com/sharu28/dibi-milano-skin-center/main/public/product-images/no-age-revitalising-fluid-cream_1.jpg,1,No-Age Revitalizing Fluid Cream*: Anti Age Cream,active,Targeted acid renewal that refines texture and reveals brighter skin.,"[""Gently exfoliates for smoother surface texture"",""Boosts cell turnover for renewed radiance"",""Refines the look of pores"",""Preps skin for better serum absorption""]",Dull or Textured Skin
no-age-revitalizing-fluid-cream-anti-age-cream,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/sharu28/dibi-milano-skin-center/main/public/product-images/no-age-revitalising-fluid-cream_2.jpg,2,No-Age Revitalizing Fluid Cream*: Anti Age Cream,,,,
no-age-revitalizing-fluid-cream-anti-age-cream,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/sharu28/dibi-milano-skin-center/main/public/product-images/no-age-revitalising-fluid-cream_3.jpg,3,No-Age Revitalizing Fluid Cream*: Anti Age Cream,,,,
no-age-revitalizing-fluid-cream-anti-age-cream,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/sharu28/dibi-milano-skin-center/main/public/product-images/no-age-revitalising-fluid-cream_4.jpg,4,No-Age Revitalizing Fluid Cream*: Anti Age Cream,,,,
no-age-bio-active-eye-roller-anti-aging-eye-cream,No-Age Bio-Active Eye Roller: Anti aging eye cream,"<p>No-Age Bio-Active Eye Roller: Anti aging eye cream from the ACID INFUSION collection, available through DIBI Milano Skin Center Colombo.</p><h3>Directions for Use</h3><p>Apply the product using the applicator sphere, tap in and massage until full absorbed. Shake before use.</p><h3>Ingredients</h3><p style=""font-family: monospace; font-size: 0.875rem;"">AQUA (WATER), PROPYLENE GLYCOL, BUTYLENE GLYCOL, PHENOXYETHANOL, HYDROXYACETOPHENONE, GLYCERIN, CAFFEINE, HYDROXYETHYLCELLULOSE, TETRASODIUM EDTA, GELLAN GUM, GLYCYRRHETINIC ACID, GLYCOSAMINOGLYCANS, SODIUM HYALURONATE, CHENOPODIUM QUINOA SEED EXTRACT, SODIUM HYDROXIDE, POTASSIUM SORBATE, TRISODIUM EDTA</p>",DIBI Milano,Acid Infusion,"ACID INFUSION, Hydrating",TRUE,Title,Default Title,NO-AGE-BIO-ACTIVE-EYE-ROLLER-ANT,50,shopify,0,deny,manual,1.00,TRUE,TRUE,https://raw.githubusercontent.com/sharu28/dibi-milano-skin-center/main/public/product-images/no-age-bio-active-eye-roller_1.jpg,1,No-Age Bio-Active Eye Roller: Anti aging eye cream,active,Targeted acid renewal that refines texture and reveals brighter skin.,"[""Gently exfoliates for smoother surface texture"",""Boosts cell turnover for renewed radiance"",""Refines the look of pores"",""Preps skin for better serum absorption""]",Dull or Textured Skin
no-age-bio-active-eye-roller-anti-aging-eye-cream,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/sharu28/dibi-milano-skin-center/main/public/product-images/no-age-bio-active-eye-roller_2.jpg,2,No-Age Bio-Active Eye Roller: Anti aging eye cream,,,,
no-age-bio-active-eye-roller-anti-aging-eye-cream,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/sharu28/dibi-milano-skin-center/main/public/product-images/no-age-bio-active-eye-roller_3.jpg,3,No-Age Bio-Active Eye Roller: Anti aging eye cream,,,,
no-age-bio-active-eye-roller-anti-aging-eye-cream,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/sharu28/dibi-milano-skin-center/main/public/product-images/no-age-bio-active-eye-roller_4.jpg,4,No-Age Bio-Active Eye Roller: Anti aging eye cream,,,,
no-age-bio-active-eye-roller-anti-aging-eye-cream,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/sharu28/dibi-milano-skin-center/main/public/product-images/no-age-bio-active-eye-roller_5.jpg,5,No-Age Bio-Active Eye Roller: Anti aging eye cream,,,,
